#hg38.knownCanonical.transcript	hg38.refGene.name	hg38.refGene.name2
ENST00000367772.8	NM_181093	SCYL3
ENST00000359326.8	NM_001320047	C1orf112
ENST00000374005.7	NM_005248	FGR
ENST00000367429.8	NM_000186	CFH
ENST00000003583.12	NM_178122	STPG1
ENST00000374399.8	NM_020448	NIPAL3
ENST00000354858.10	NM_001625	AK2
ENST00000356634.7	NM_015013	KDM1A
ENST00000371274.8	NM_017904	TTC22
ENST00000358039.8	NM_017744	ST7L
ENST00000333360.11	NM_000450	SELE
ENST00000377577.9	NM_018198	DNAJC11
ENST00000367755.8	NM_001002294	FMO3
ENST00000361729.2	NM_004091,	E2F2,
ENST00000009105.5	NM_020439	CAMK1G
ENST00000404249.7	NM_024011	CDK11A
ENST00000341991.7	NM_001198993	NADK
ENST00000358528.8	NM_001007553	CSDE1
ENST00000420770.6	NM_001135254	PAX7
ENST00000400897.7	NM_006610	MASP2
ENST00000373954.10	NM_152660	FAM76A
ENST00000367025.7	NM_025228	TRAF3IP3
ENST00000295050.11	NM_032018	SPRTN
ENST00000361735.3	NM_015935	EEF1AKNMT
ENST00000372597.5	NM_012236	SCMH1
ENST00000367750.7	NM_002021	FMO1
ENST00000418390.6	NM_003198	ELOA
ENST00000374514.7	NM_007260	LYPLA2
ENST00000346436.10	NM_001286	CLCN6
ENST00000439741.3	NM_001145862	MTMR11
ENST00000234701.7	NM_001285	CLCA1
ENST00000370563.3	NM_012128	CLCA4
ENST00000361216.7	NM_000702	ATP1A2
ENST00000356090.8	NM_001014839	NCDN
ENST00000308873.10	NM_004350	RUNX3
ENST00000371237.8	NM_000066	C8B
ENST00000367440.3	NM_016066	GLRX2
ENST00000369124.4	NM_016274	PLEKHO1
ENST00000370238.7	NM_002061	GCLM
ENST00000370966.9	NM_017779	DEPDC1
ENST00000373625.7	NM_012316	KPNA6
ENST00000368043.7	NM_021181	SLAMF7
ENST00000368195.3	NM_014215	INSRR
ENST00000368199.7	NM_003975	SH2D2A
ENST00000376259.6	NM_001066	TNFRSF1B
ENST00000234677.6	NM_006513	SARS
ENST00000035383.9	n/a	n/a
ENST00000037502.10	NM_000261	MYOC
ENST00000366535.3	NM_001126	ADSS2
ENST00000370801.7	NM_015534	ZZZ3
ENST00000375592.7	NM_018994	FBXO42
ENST00000375155.7	NM_017765	SLC66A1
ENST00000377627.7	NM_138350	THAP3
ENST00000307340.7	NM_206933	USH2A
ENST00000316891.9	NM_017646	TRIT1
ENST00000372581.1	NM_007102	GUCA2B
ENST00000367478.8	NM_003292	TPR
ENST00000620676.6	NM_015378	VPS13D
ENST00000372748.7	NM_001852	COL9A2
ENST00000377403.6	NM_004285	H6PD
ENST00000054666.10	NM_004781	VAMP3
ENST00000361923.2	NM_016831	PER3
ENST00000054668.5	NM_021995	UTS2
ENST00000615230.4	NM_001561	TNFRSF9
ENST00000356595.8	NM_198718	PTGER3
ENST00000060969.5	NM_025073	SIKE1
ENST00000235835.7	NM_003689	AKR7A2
ENST00000330263.4	NM_016183	MRTO4
ENST00000373166.7	NM_014408	TRAPPC3
ENST00000354618.9	NM_005119	THRAP3
ENST00000366603.6	NM_001206794	ARID4B
ENST00000366554.2	NM_014322	OPN3
ENST00000366541.7	NM_006642,	SDCCAG8,
ENST00000413764.6	NM_001122834,	HHAT,
ENST00000377086.5	NM_015074	KIF1B
ENST00000401088.8	NM_001114600	SZRD1
ENST00000370589.6	NM_018298	MCOLN3
ENST00000367619.7	NM_003101	SOAT1
ENST00000263187.3	NM_002440	MSH4
ENST00000246151.8	NM_020362	PITHD1
ENST00000264144.4	NM_005562	LAMC2
ENST00000375541.9	NM_014675	CROCC
ENST00000357681.9	NM_001684	ATP2B4
ENST00000639812.1	NM_001319238	ZC3H11A
ENST00000072644.6	NM_018982	YIPF1
ENST00000371429.3	NM_018087	NDC1
ENST00000040877.1	NM_005646	TARBP1
ENST00000078527.8	NM_017837	PIGV
ENST00000345512.7	NM_005704	PTPRU
ENST00000263694.8	NM_004814	SNRNP40
ENST00000370096.8	NM_001854	COL11A1
ENST00000369702.4	NM_007204	DDX20
ENST00000445067.6	NM_004000	CHI3L2
ENST00000369851.5	NM_006496	GNAI3
ENST00000349139.5	NM_006784	WDR3
ENST00000370521.7	NM_006256	PKN2
ENST00000375759.7	NM_015001	SPEN
ENST00000261455.8	NM_018252	PACC1
ENST00000321358.11	NM_004559	YBX1
ENST00000261461.6	NM_006243	PPP2R5A
ENST00000372476.7	NM_005424	TIE1
ENST00000372396.3	NM_014663	KDM4A
ENST00000447388.7	NM_014223	NFYC
ENST00000372565.7	NM_032257	ZMYND12
ENST00000367409.8	NM_018136	ASPM
ENST00000368054.7	NM_003874	CD84
ENST00000372458.7	NM_022821	ELOVL1
ENST00000370952.3	NM_017768	LRRC40
ENST00000370331.5	NM_005665	EVI5
ENST00000436063.6	NM_014597	DNTTIP2
ENST00000366932.3	NM_016052	RRP15
ENST00000378567.7	NM_002744	PRKCZ
ENST00000366922.2	NM_018060	IARS2
ENST00000261396.5	NM_018230	NUP133
ENST00000367142.4	NM_022731	NUCKS1
ENST00000378097.5	NM_001199861	KCNAB2
ENST00000212355.8	NM_003243	TGFBR3
ENST00000377834.8	NM_019089	HES2
ENST00000372086.3	NM_007170	TESK2
ENST00000360403.6	NM_020365	EIF2B3
ENST00000315554.12	NM_044472	CDC42
ENST00000166244.7	NM_020526	EPHA8
ENST00000358671.9	NM_004001	FCGR2B
ENST00000368174.4	NM_005894	CD5L
ENST00000367468.9	NM_000963	PTGS2
ENST00000646539.1	NM_001428	ENO1
ENST00000361221.7	NM_018125	ARHGEF10L
ENST00000264211.12	NM_003760	EIF4G3
ENST00000367649.7	NM_170692	RASAL2
ENST00000361580.6	NM_014970	KIFAP3
ENST00000367749.3	NM_002022	FMO4
ENST00000209884.4	NM_014458	KLHL20
ENST00000367033.3	NM_025179	PLXNA2
ENST00000374765.8	NM_002885	RAP1GAP
ENST00000367274.9	NM_001310326	UBE2T
ENST00000608999.5	NM_002481	PPP1R12B
ENST00000370794.7	NM_201624	USP33
ENST00000366578.5	NM_001103	ACTN2
ENST00000264202.7	NM_004930	CAPZB
ENST00000366592.7	NM_003272	GPR137B
ENST00000610897.4	NM_001282539	GNB1
ENST00000354831.11	NM_002525	NRDC
ENST00000263741.11	NM_016547	SDF4
ENST00000378295.8	NM_005427	TP73
ENST00000371945.9	NM_001135553	MKNK1
ENST00000361544.11	NM_033312	CDC14A
ENST00000371084.7	NM_002633	PGM1
ENST00000367415.7	NM_005666	CFHR2
ENST00000263511.8	NR_023386	CROCCP3
ENST00000261441.9	NM_018364	RSBN1
ENST00000369615.5	NM_152900	MAGI3
ENST00000442510.7	NM_002838,	PTPRC,
ENST00000362061.3	NM_000069	CACNA1S
ENST00000367324.7	NM_001005337	PKP1
ENST00000366758.7	NM_023007	JMJD4
ENST00000367943.4	NM_007240	DUSP12
ENST00000194214.9	NM_016126	HSPB11
ENST00000262345.5	NM_001559	IL12RB2
ENST00000391894.6	NM_014217	KCNK2
ENST00000367012.3	NM_019605,	SERTAD4,
ENST00000336184.6	NM_004619	TRAF5
ENST00000196061.4	NM_000302	PLOD1
ENST00000372718.7	NM_022733	SMAP2
ENST00000324379.9	NM_006112	PPIE
ENST00000372759.3	NM_005857	ZMPSTE24
ENST00000373586.1	NM_003757	EIF3I
ENST00000373736.6	NM_024522	NKAIN1
ENST00000373672.7	NM_001856	COL16A1
ENST00000373610.7	NM_175852	TXLNA
ENST00000369965.8	NM_014969	WDR47
ENST00000369732.3	NM_002557	OVGP1
ENST00000565488.5	NM_013386,	SLC25A24,
ENST00000368094.5	NM_001135050	IGSF9
ENST00000413473.6	NM_001144832	TTC39A
ENST00000371733.7	NM_001981	EPS15
ENST00000371568.7	NM_004153	ORC1
ENST00000371984.7	NM_017739	POMGNT1
ENST00000442598.5	NM_001142548	RAD54L
ENST00000361297.6	NM_015112	MAST2
ENST00000354619.9	NM_019891	ERO1B
ENST00000371108.8	NM_013339	ALG6
ENST00000336689.7	NM_017707,	ASAP3,
ENST00000263980.7	NM_003047	SLC9A1
ENST00000367459.7	NM_002922	RGS1
ENST00000321265.9	NM_006600	NUDC
ENST00000264198.4	NM_024544	MUL1
ENST00000372857.7	NM_003819	PABPC4
ENST00000308271.13	NM_032236	USP48
ENST00000366560.3	NM_000143	FH
ENST00000207157.7	NM_152380	TBX15
ENST00000641597.1	NM_006623	PHGDH
ENST00000373204.5	NM_012199	AGO1
ENST00000207457.7	NM_014466	TEKT2
ENST00000318121.7	NM_022111	CLSPN
ENST00000366930.8	NM_003238	TGFB2
ENST00000366935.7	NM_018040	GPATCH2
ENST00000209929.9	NM_001460	FMO2
ENST00000263688.3	NM_014283	SUCO
ENST00000377855.6	NM_181864	ACOT7
ENST00000370558.8	NM_016009	SH3GLB1
ENST00000234626.10	NM_003503	CDC7
ENST00000341460.5	NM_032184	SYDE2
ENST00000263174.8	NM_017734	PALMD
ENST00000378891.9	NM_004421	DVL1
ENST00000234739.7	NM_004326	BCL9
ENST00000239461.10	NM_022716	PRRX1
ENST00000649007.1	NM_014762	DHCR24
ENST00000375847.7	NM_015291	DNAJC16
ENST00000366917.5	NM_018650	MARK1
ENST00000367674.6	NM_003285	TNR
ENST00000378531.7	NM_024848	MORN1
ENST00000361314.4	NM_015696	GPX7
ENST00000367679.6	NM_014412	CACYBP
ENST00000371514.7	NM_002979	SCP2
ENST00000367662.4	NM_020318	PAPPA2
ENST00000367635.7	NM_152663	RALGPS2
ENST00000234816.6	NM_004673	ANGPTL1
ENST00000378230.7	NM_014704	CEP104
ENST00000263733.4	NM_014864	FAM20B
ENST00000234827.5	NM_153035	TCEANC2
ENST00000234831.9	NM_004872	TMEM59
ENST00000371370.7	NM_001256409	LRRC42
ENST00000270708.11	NM_017818	WRAP73
ENST00000367615.8	NM_014625	NPHS2
ENST00000360840.9	NM_016491	MRPL37
ENST00000343813.9	NM_012405	ICMT
ENST00000234875.8	NM_000983	RPL22
ENST00000262450.7	NM_015557	CHD5
ENST00000367602.7	NM_002826	QSOX1
ENST00000370008.3	NM_007269	STXBP3
ENST00000377648.4	NM_153812	PHF13
ENST00000377482.9	NM_018948	ERRFI1
ENST00000493678.5	NM_001123377	PARK7
ENST00000369939.7	NM_020775	KIAA1324
ENST00000234961.6	NM_000911	OPRD1
ENST00000256578.7	NM_004037	AMPD2
ENST00000373795.6	NM_005626	SRSF4
ENST00000373791.7	NM_001024732	MECR
ENST00000438661.2	NM_001039574	KCNC4
ENST00000318130.12	NM_025191	EDEM3
ENST00000235090.9	NM_024102	WDR77
ENST00000369722.7	NM_001688	ATP5PB
ENST00000356415.5	NM_002884	RAP1A
ENST00000373548.7	NM_004964	HDAC1
ENST00000263168.3	NM_006135	CAPZA1
ENST00000373475.9	NM_022753	S100PBP
ENST00000373456.11	NM_153341	RNF19B
ENST00000302631.7	NM_005698,	SCAMP3,
ENST00000291416.9	NM_018207	TRIM62
ENST00000392403.7	NM_018489	ASH1L
ENST00000373347.5	NM_001080418	DLGAP3
ENST00000357214.5	NM_005066	SFPQ
ENST00000366691.3	NM_021205,	RHOU,
ENST00000437809.5	NM_001282856	GON4L
ENST00000313695.11	NM_004723	ARHGEF2
ENST00000368305.8	NM_014017	LAMTOR2
ENST00000464356.6	NM_005920	MEF2D
ENST00000340370.10	NM_033407	DOCK7
ENST00000376957.6	NM_003132	SRM
ENST00000371086.3	NR_002771	DLEU2L
ENST00000354287.4	NM_012168	FBXO2
ENST00000376753.8	NM_018438	FBXO6
ENST00000235307.6	NM_030806	C1orf21
ENST00000367500.8	NM_017673	SWT1
ENST00000235310.7	NM_001127325	MAD2L2
ENST00000395325.7	NM_014787	DNAJC6
ENST00000349533.10	NM_002303	LEPR
ENST00000367498.7	NM_006469	IVNS1ABP
ENST00000376572.7	NM_138346	KIAA2013
ENST00000444836.5	NM_001127660	MFN2
ENST00000445192.6	NM_005807	PRG4
ENST00000235332.5	NM_021933	MIIP
ENST00000347615.6	NM_173156	SMG7
ENST00000367536.5	NM_001127651	NCF2
ENST00000391997.2	NM_002597	PDC
ENST00000235345.5	NM_015139	SLC35D1
ENST00000367466.3	NM_024420	PLA2G4A
ENST00000370986.8	NM_001924	GADD45A
ENST00000332296.7	NM_023013	PRAMEF1
ENST00000357726.4	NM_001080830	PRAMEF12
ENST00000262348.8	NM_024911	WLS
ENST00000235372.11	NM_012231	PRDM2
ENST00000235382.6	NM_002923	RGS2
ENST00000262340.5	NM_000329	RPE65
ENST00000367446.7	NM_004600	RO60
ENST00000520113.6	NM_000036	AMPD1
ENST00000367455.8	NM_015984	UCHL5
ENST00000369541.3	NM_005872	BCAS2
ENST00000370950.7	NM_004768	SRSF11
ENST00000370938.7	NM_001902	CTH
ENST00000375826.3	NM_024758	AGMAT
ENST00000320334.4	NM_020190	OLFML3
ENST00000326637.7	NM_015978	TNNI3K
ENST00000367425.8	NM_021023	CFHR3
ENST00000375799.7	NM_015164	PLEKHM2
ENST00000417775.5	NM_001130042	CRYZ
ENST00000369604.5	NM_001323043	PHTF1
ENST00000375743.8	NM_003443	ZBTB17
ENST00000369489.9	NM_001779	CD58
ENST00000373235.3	NM_178548	TFAP2E
ENST00000369478.3	NM_001767	CD2
ENST00000369466.8	NM_003594	TTF2
ENST00000367362.7	NM_205860	NR5A2
ENST00000332129.6	NM_017596	KIF21B
ENST00000367333.6	NM_001288564	TMEM9
ENST00000373178.4	NM_017825	ADPRHL2
ENST00000373151.6	NM_018067	MAP7D1
ENST00000235521.4	NM_015836	WARS2
ENST00000622548.4	NM_001005783	HAO2
ENST00000373137.2	n/a	n/a
